자료분류,파일명,파일명_id,첨부파일경로,기사제목,기사/파일경로,"첨부
파일",Key Words,Key takeaways,Viewpoint,페이스북Group,작성일자,작성자명
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,최고의 마셜아츠 스트리밍 플랫폼이 되려는 One Champion,http://www.yonhapnews.co.kr/stock/2018/03/19/1309000000AKR20180319032200008.HTML,-,"#OneChampion, #마셜아츠콘텐츠스트리밍앱, #SequoiaIndia, #Temasek","싱가포르의 무술 방송사인 One Champion이 5월 초 영화와 경기를 포함한 마셜 아츠 콘텐츠 스트리밍 앱을 출시할 예정임. One Champion은 Sequoia India와 Temasek이 투자한 미디어로, 기술적 지원이 이어질 것으로 보임.",무술 / 무예 경기는 몇 분 안에 끝나는 경기로 모바일 스트리밍에 적합한 콘텐츠이며 매니아층 역시 늘어나고 있어 성장이 기대됨. 마샬아츠 뿐만 아니라 분야별 전문성을 갖춘 스트리밍 서비스가 증가할 것으로 보임.,DNB room,20180327,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,닌자 아사카사 : 실제로 도쿄에서 맛있는 음식을 제공하는 테마 레스토랑,http://ko.favy-jp.com/topics/1805,-,"#닌자아카사카, #닌자레스토랑","'닌자 아카사카'는 현대에 부활한 닌자 저택이라는 컨셉으로 수준급의 셰프들이 일본요리, 프랑스요리, 중화요리 등의 요리를 퓨전하여 제공함. 또한 요리에는 엔터테인먼트적인 요소도 포함되어 식사의 맛과 즐거움도 함께 제공함.",독특한 공간에서 식사를 즐길 수 있는 테마파크와 같은 레스토랑이 여행하는 시간을 최대로 활용하고 싶은 외국인에게도 큰 인기를 얻고 있음.,DNB room,20180327,Jonghyeuk Yoon
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,"텐센트, 알리바바, 아시아 투자 지형 바꾼다",http://www.etoday.co.kr/news/section/newsview.php?idxno=1607412,-,"#텐센트, #알리바바",텐센트와 알리바바는 풍부한 자본과 장기적인 관점으로 아시아 태평양 지역의 스타트업에 투자하고 있음. 현재 두 기업은 스타트업에 투자되는 투자액의 60% 이상을 투자하고 있음.,"인도, 인도네시아 등의 중국 외의 지역에서 스타트업에 대한 투자도 활발해지고 있음. 투자의 증가로 인한 시장 성장의 기대감도 증가하고 있으나, 거대 자본시장에 진입하지 못한 스타트업들의 사례도 급증하며, 외국 자본에 대한 보호주의적인 정책 진행 여부에 대한 모니터링이 필요하다고 사료됨.",DNB room,20180327,Moojin Choi
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,"글로벌 승차공유 시장 주무르는 '손정의'… 우버 동남아 사업, 그랩에 매각",http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=001&oid=015&aid=0003914048&lfrom=facebook,-,"#우버, #그랩, #소프트뱅크, #동남아사업매각","26일, 우버는 동남아 사업 전부를 그랩에 매각하기로 공식발표함. 이번 매각은 우버와 그랩의 최대주주인 소프트뱅크가 지역별로 사업을 분할하여 출혈경쟁을 막고 자율주행 시장 경쟁을 본격화하기 위한 의도로 풀이되고 있음.",소프트뱅크의 큰 그림은 모빌리티 플랫폼을 기반으로 한 자율주행자동차 시장임. 2016에는 영국 암(ARM)을 인수해 자율주행 반도체 설계 부문에 진출한 바 있음. 운행데이터를 기반으로 한 승차공유업체와 구글과 같은 IT기업의 자율주행차 경쟁이 본격화될 것으로 보임.,DNB room,20180327,Jeongeun Go
Daily News Briefing,Daily_News_Briefing_180327,20180327001,DNB.ZIP,매년 200명 초대받는 아마존의 비밀 사교클럽,http://news.mt.co.kr/mtview.php?no=2018032609404312657,-,"#아마존, #MARS, #Campfire, #비공개연례행사","아마존 CEO가 지난 19일부터 사흘간 비공개 연례 컨퍼런스인 'MARS(Machine-Learning Automation, Robotics & Space Exploration)'를 개최함. 한편, 아마존의 또 다른 비공개 연례행사로 2010년 부터 시작된 문화콘텐츠 창작자 대상의 'Campfire'도 있음.","아마존의 MARS와 Campfire의 목적은 결국 아이디어의 '수분(pollination)'임. 당사도, 인재풀 확보와 네트워크 형성을 위해 각종 분야 및 직급을 떠난 다양한 사교모임을 추진해 볼 수 있음.
*MARS: 첨단 기술산업과 관련된 각계 저명인사를 초청해 가벼운 대화부터 심도 있는 프레젠테이션 및 토론에 이르기까지 아이디어를 나누는 비공개 연례 컨퍼런스. 또한, 다양한 체험활동(네이비씰 훈련, 도끼 제작, 곡예비행 등)도 이뤄짐.",DNB room,20180327,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,"밀레니얼을 위한 CNBC인 Cheddar, $22M 투자 유치",https://www.wsj.com/articles/cheddar-the-cnbc-for-millennials-raises-22-million-for-international-expansion-1521487261,-,"#Cheddar, #Snapchat Discover, #채널런칭",밀레니얼을 위한 금융 뉴스 스트리밍 서비스인 Cheddar가 영국으로 확장하고 Snapchat Discover에 채널을 런칭하기 위해 $22M의 투자를 유치함. 이로써 Cheddar의 가치는 $160M으로 추산됨.,"Cheddar는 버즈피드의 전 CEO가 출시한 서비스로, 어려운 경제 관련 뉴스들을 쉽게 풀어내 가치를 인정받고 있음. 우리 역시 이러한 콘텐츠를 참고해 젊은 세대를 위한 쉽고 재밌는 금융 콘텐츠를 제작할 수 있을 것으로 보임.",DNB room,20180326,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,왜 동남아의 큰 스타트업들은 핀테크로 옮겨갈까?,https://www.techinasia.com/talk/big-names-moving-fintech,-,"#Grab, #AirAsia","지난주, Grab와 AirAsia가 금융 서비스에 진출함. 결제 플랫폼은 다양한 서비스와 결합되어 크로스 셀링을 높이고 고객들에게는 일종의 로열티 프로그램의 역할을 함. 마이크로랜딩과 같은 대출 서비스는 궁극적으로 큰 수익과 연결될 수 있음.","중국, 동남아의 대형 스타트업들이 앞다투어 핀테크 영역에 참여하고 있음. 이 지역은 unbanked 고객이 많아 플랫폼 사업자들이 금융에 성공적으로 안착할 가능성이 높으므로 지속적으로 관심을 가지고 살펴봐야 할 필요가 있음.",DNB room,20180326,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,TV에서 모바일로 옮긴 ‘생방송 퀴즈쇼’,http://itdaily.kr/news/articleView.html?idxno=88039,-,"#퀴즈앱, #잼라이브, #Let'sKwiz, #더퀴즈라이브","실시간으로 퀴즈쇼에 참가해 상금을 획득할 수 있는 모바일 생방송 퀴즈앱이 돌풍을 일으키고 있음. 특히 이번달 네이버 스노우가 출시한 '잼라이브' 앱은 동시 접속자 5만명을 넘기고 있음. 이밖에도 콰이는 'Let's Kwiz'를, 캐시슬라이드를 운영하는 NBT는 '더 퀴즈 라이브'를 출시함","모바일 퀴즈쇼는 중국, 미국 등 해외에서 먼저 열풍을 보였음. 간편하게 참여할 수 있고 경우에 따라 큰 상금을 현금화할 수 있다는 점에서 지금의 큰 호응이 한동안 이어질 것으로 보임.",DNB room,20180326,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,새 먹거리 찾아 ‘모바일상품권’ 시장 뛰어든 카드업계,http://www.asiatoday.co.kr/view.php?key=20180323010013109,-,"#모바일상품권, #카드업계","비금융권의 전유물로 취급되어온 ‘모바일 상품권’ 사업에 신한카드, 롯데카드 등 주요 카드사들이 잇따라 사업을 진행하고 있음. 모바일 상품권 시장은 최근 카드업계가 가맹점 수수료 등에서 악화를 겪어 신사업으로서 진출하기 시작했으며, 결제 편의성이 증가함에 따라 동시에 성장하고 있음. 
*모바일 상품권: 스마트폰 앱으로 구입해 문자메세지, 메신저 등을 통해 주고 받는 선불식 전자 상품권","모바일 상품권 시장은 2012년 1084억원에 불과했으나, 2017년 1조2000억원으로 5년 만에 10배로 급증하는 등 빠른 성장세를 보이고 있음. 당사는 해당 시장에 컨텐츠 제공의 직접적인 시장 참여 혹은 시장 분석 방안에 대해 검토해볼 필요가 있음.",DNB room,20180326,Moojin Choi
Daily News Briefing,Daily_News_Briefing_180326.pdf,20180326001,DNB.ZIP,인도.. 온라인 식품배달 성장잠재력 주목,http://www.fnnews.com/news/201803251741355681,-,"#소프트뱅크, #그로퍼스, #인도식품배달","일본의 소프트 뱅크가 인도 온라인 식품 관련 스타트업인 그로퍼스에 40억루피(약 657억원)를 투자하기로 함. 한편 알리바바는 인도 온라인 레스토랑 검색 및 식품 배달 스타트업 조마토에 1607억원을 투자한 가운데, 인도 식품 배달 시장 선점을 위한 경쟁이 치열해질 것으로 보임.","인도는 식품배달산업 규모는 2016년 대비 3배가량 성장할 것으로 예상되지만, 온라인 배달 주문은 전체 배달의 2%에 불과해 성장 잠재력이 큼. 식품 배달과 함께 관련 플랫폼이 성장할 것으로 예상됨에 따라, 포스트 차이나라고 불리는 인도시장에 대한 투자 방안을 검토해볼 수 있음.",DNB room,20180326,Jungeun Go
Daily News Briefing,Daily_News_Briefing_180323,20180323001,DNB.ZIP,금융상품 한곳서 큐레이션…'재테크 백화점' 뜬다,http://www.sedaily.com/NewsView/1RX2W73YPA/GC11,-,"#재테크백화점, #뱅크샐러드","고객 맞춤형으로 금융 상품을 추천해주는 '재테크 백화점' 시대가 열리고 있음. 금융 상품 추천 플랫폼인 '뱅크샐러드'는 카드, 예적금, 보험, 펀드, 대출, P2P 금융 등 5,800여종에 달하는 상품을 모아 가입자 75만명을 돌파함.","최근 금융위는 핀테크 활성화 방안을 발표하며 '종합 자산관리 서비스'를 적극 육성하겠다고 밝혀 뱅크샐러드, 토스와 같은 핀테크 업체들이 종합 금융서비스로 발돋움하기 위해 서비스를 제공할 것으로 예상됨.",DNB room,20180323,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180323,20180323001,DNB.ZIP,"일본 재방문 외국인 1,761만명. 한국인이 가장 많아",http://www.yonhapnews.co.kr/bulletin/2018/03/22/0200000000AKR20180322144300073.HTML?input=1195m,-,"#일본재방문, #방일관광객",일본정부관광국(JNTO)에 따르면 지난해 방일 외국인 관광객 2천869만명 가운데 61.4%인 1천761만명이 두번째 이상 일본을 찾은 재방문객이었음. 이 가운데 관광·레저를 목적으로 재방문한 한국인이 30%로 가장 많은 것으로 나타남.,"한국 재방문율 38.6% 대비, 일본 재방문율이 높은 이유 중 하나는, 일본에 지방의 특색을 살린 프로그램 체험이 풍부하다는 점이라고 함. 당사도 국내, 해외 여러 지역과 연계해 진행 할 수 있는 각종 축제 및 행사를 기획해 볼 수 있음.",DNB room,20180323,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180323,20180323001,DNB.ZIP,"네오플라이, 블록체인 관련 사업 본격화한다",http://www.venturesquare.net/761178,-,"#네오플라이, #블록체인, #크립토펀드","스타트업 엑셀러레이터인 네오플라이는 최근 블록체인, AI 등 기술 스타트업 지원 및 투자에 박차를 가한다 밝힘. 사업을 위해 내부 자금 크립토펀드 조성, 스타트업 투자 및 인큐베이션, 다양한 DApp 개발 및 지원, 국내외 블록체인 전문기관들과의 연대 및 협업을 진행할 예정임.",블록체인은 전 산업에 대해 새로운 혁신을 제공할 수 있을 것으로 기대됨. 새롭게 떠오르는 블록체인 생태계에 참여할 플레이어들을 관심 있게 살펴봐야 할 필요가 있음.,DNB room,20180323,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180323,20180323001,DNB.ZIP,편의점 자판기로 ‘삼겹살’ 뽑아 먹는다?,http://www.econovill.com/news/articleView.html?idxno=334124,-,"#CU, #IoT스마트자판기, #냉장육무인판매, #키오스크","CU는 이번달 한우, 한돈 'IoT 스마트 자판기'를 도입함. IoT 스마트 자판기는 지난해 농협, KT, 알파미트코리아가 공동으로 개발한 냉장육 무인 판매 플랫폼으로, 소비자들은 키오스크의 터치 스크린을 통해 간편하게 고기를 구입할 수 있음.","IoT 스마트 자판기는 상품의 품질 정보와 재고 정보를 실시간으로 점검할 수 있음. 유통업체, 숙박업소 등 다양한 분야에 IoT 스마트 자판기가 활용될 수 있을 것으로 생각됨.",DNB room,20180323,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180323,20180323001,DNB.ZIP,특수학교 표시판에 왜 글자만 있을까. 발상 달리한 엔씨문화재단,http://www.ddaily.co.kr/news/article.html?no=167037,-,"#엔씨문화재단, #특수학교, #그림상징표시판",엔씨문화재단이 장애학생을 위한 교내 그림상징 표시판을 개발해 보급하기 시작함. 그동안 특수학교와 일반학교 특수학급에 설치된 표시판은 글자로만 돼 있어 인지장애 학생들이 이해하기에 어려움이 많았기 때문임.,"당사도 사회공헌활동의 일환으로, 국립특수교육원 또는 에듀케이션 업체와의 협업을 통해 학생들에게 실질적인 도움을 줄 수 있는 사업을 추진 해 볼 수 있다고 생각됨.",DNB room,20180323,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180322,20180322001,DNB.ZIP,"스타와 팬 연결하는 SNS ‘피퍼(Peeper)’, 글로벌 사용자 40만 돌파",http://www.etnews.com/20180312000123,-,"#피퍼, #덕질, #스타팬연결앱","스마트폰 갤러리 사진을 공유하는 서비스인 '피퍼'는 이른바 '덕질'을 편리하게 할 수 있도록 하는 앱으로 K-pop 팬들에게 인기를 끌어 글로벌 사용자 40만명을 돌파함. 업체측에 따르면 80% 이상이 해외 사용자이며, 앱 내 포인트를 선물하는 방식으로 자신이 좋아하는 스타를 후원할 수 있음.",한국의 문화 콘텐츠가 글로벌 시장에서 경쟁력을 갖춰가면서 매력도가 높아지고 있음. 팬과 스타를 직접 이어주는 방식의 플랫폼은 다양한 활용이 가능할 것으로 예상됨.,DNB room,20180322,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180322,20180322001,DNB.ZIP,"KEB하나은행, 벤처 지원 등 생산적 금융에 15조원 투자",http://www.yonhapnews.co.kr/economy/2018/03/22/0325000000AKR20180322062500002.HTML,-,"#KEB하나은행, #벤처투자, #벤처지원","KEB 하나은행이 중소 벤처기업에 매년 1천2백억원을 직접 투자하고, 혁신창업펀드와 성장지원펀드 등에 매년 1천억원을 지원해 2020년까지 총 6천억원을 투자하기로 밝힘. 이를 위해 하나은행은 신성장벤처지원팀과 중소벤처금융부를 신설함.",대기업 및 금융기관들의 벤처 투자 참여가 증가하고 있음. 경쟁력을 가진 벤처 스타트업을 빠르게 알아보고 성장을 함께 이어가야 할 것으로 생각됨.,DNB room,20180322,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180322,20180322001,DNB.ZIP,'편의점 왕국'은 옛말. 2년 연속 줄어든 일본 편의점 고객,http://news.hankyung.com/article/201803210244i?utm_source=naver&utm_medium=naver_related&utm_campaign=related_naver_all,-,"#일본편의점, #일본인터넷쇼핑몰","'편의점 왕국’ 일본에서도 편의점 이용객이 줄고 있음. 지난 2월 일본 주요 7개 편의점의 내점객수는 전년 동기에 비해 1.4% 감소했으며, 고객 감소세는 24개월 연속으로 이어짐. 한편, 일본 3대 인터넷 쇼핑몰의 매출은 전년 대비 13% 증가함.","국내 온오프라인 매장의 동향 또한, 일본과 유사할 것으로 보임. 이에, 간편한 결제 및 배송을 실현시킬수 있는 기술력을 확보한다면, 고객관리나 계열사 온라인 쇼핑몰 운영 및 서비스 연계에서 큰 효과가 있을 것으로 판단됨.",DNB room,20180322,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180322,20180322001,DNB.ZIP,지난해 해외직구 역대 최대치,http://www.nextdaily.co.kr/news/article.html?id=20180321800021,-,#해외직구,"관세청에 따르면 작년 우리나라 해외직구 구매액은 21억 1천만 달러를 넘어서며 역대 최대치로 집계됨. 이 수치는 2016년 대비 29.1% 증가한 수치이며 , 최근 5년간 해외직구의 평균 증가율은 27%임.","중국과 미국의 대대적인 쇼핑 이벤트로 인해 해외직구는 계속 증가할 것으로 예상됨. 이에 대해 해외 직구 보험, 가격 비교 서비스 등의 새로운 서비스를 생각해 볼 수 있음.",DNB room,20180322,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180322,20180322001,DNB.ZIP,"이케아, AR앱 ‘이케아 플레이스’ 출시",http://www.m-i.kr/news/articleView.html?idxno=397033,-,"#이케아플레이스, #AR앱, #증강현실, #비주얼서치","이케아가 가상으로 가구를 공간에 배치할 수 있는 증강현실(AR) 앱을 출시함. 앱을 통해 소비자들은 구매 전 다양한 제품들을 가상 공간에 배치해볼 수 있음. 이외에도 '비주얼 서치'라는 기능을 탑재하였는데, 자사, 타사 홈퍼니싱 제품을 카메라로 스캔시 유사하거나 일치하는 이케아 제품을 찾아볼 수 있음.",오프라인 유통업의 트렌드는 체험형 쇼핑임. 이케아 플레이스는 홈퍼니싱에 AR 기술을 접목한 사례로 구매자들에게 더 풍부한 쇼핑 경험을 제공할 것으로 보임. 오프라인 전략 수립 시 소비 트렌드와 타 산업 등의 전략에 대해 지속적인 모니터링이 필요하다고 사료됨.,DNB room,20180322,Jungeun Go
Daily News Briefing,Daily_News_Briefing_180321,20180321001,DNB.ZIP,"KT-라이나생명, 보험 및 헬스케어 사업 '맞손'","http://news.inews24.com/php/new
s_view.php?g_serial=1083589&g_
menu=020300&rrf=nv",-,"#KT, #라이나생명, #MOU, #헬스케어",KT와 라이나생명이 헬스케어 사업강화 및 디지털 기반 사업혁신을 위한 MOU를 체결함. 이번 제휴로 라이나생명은 KT의 인공지능 기술을 이용해 간편 보험 관리 서비스 개발 및 편의성을 높인 헬스케어 서비스를 선보일 예정임. 동시에 인공지능 기술 기반의 콜센터 업무혁신도 추진하기로 함.,"핀테크 혁신을 위한 금융규제가 완화됨에 따라 ICT와 보험업의 협력은 혁신적 상품 출시의 초석이 될 것으로 보임. 특히나 헬스케어 서비스는 접근성이 높은 스마트폰을 통해 활성화될 것으로 여겨짐에 따라, 보험업과 관련이 높은 헬스케어 서비스 선점을 위해 빠른 대응이 필요할 것으로 보임.",DNB room,20180321,Jungeun Go
Daily News Briefing,Daily_News_Briefing_180321,20180321001,DNB.ZIP,"넥슨, 온라인 펀딩 마켓 ‘네코장’ 오픈 5일 만에 목표 금액 달성","http://www.etnews.com/201803200
00367",-,"#넥슨, #네코장, #텀블벅","넥슨의 온라인 펀딩마켓 ‘네코장’이, 크라우드펀딩 플랫폼 ‘텀블벅’에 소개됨. 초기 목표 금액은 4,280만원이었으며, 펀딩이 시작된 지 5일 만에 모인 모금액은 8,000여 만원에 이르렀음.","게임내의 콘텐츠를 굿즈로 재탄생시켜 다른 방식으로 게임을 즐길 수 있도록 하는 방식이 유저들의 큰 호응을 불러 일으키고 있는 만큼, 당사도 각종 IP 확보와 함께 창의적인 온라인 펀딩 상품을 개발하는 방안을 검토해 볼 수 있음.
*네코제: Nexon Contents Festival에서 앞글자 '네+코'를 따왔으며, 2015년 넥슨아레나에서 처음 개최된 넥슨의 콘텐츠 축제임.",DNB room,20180321,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180321,20180321001,DNB.ZIP,日 최대 크라우드펀딩 ‘캠프파이어’ 한국 진출,http://platum.kr/archives/97282,-,"#캠프파이어, #일본크라우드펀딩","2011년 일본 최초로 크라우드펀딩 서비스를 시작한 캠프파이어가 한국에 진출함. 한국의 중소기업, 스타트업에서 판매하는 제품 및 엔터테인먼트 콘텐츠를 일본에 유통시키고, 한국 스타트업들에 엔화 투자 유입을 추진할 방침임.","크라우드 펀딩 플랫폼의 경우, 경쟁력을 갖춘 콘텐츠를 유통하는 동시에 해외 스타트업과 부동산에 대한 직접투자 경험을 제공할수 있어 이에 대해 지속적으로 관심을 가질 필요가 있음.",DNB room,20180321,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180321,20180321001,DNB.ZIP,"중국 대학들, 'AI인재 육성' 소매 걷었다","http://m.zdnet.co.kr/news_view.asp
?article_id=20180321080040#imad
news",-,"#AI, #인재육성, #중국대학",중국 정부가 주도하고 대학이 전면에 나선 AI 인재 육성분위기가 고조되고 있음. 지난해 이래 3월 중순 기준 중국 내 7개 이상 대학에 인공지능 단과대 및 전문 연구원이 새롭게 설립된 것으로 집계된 것임.,"세계적으로 AI 인재의 수요대비 공급이 부족한 상황에서, 국내에서도 인재 육성에 대한 니즈가 커질 것으로 보임. 이에 대학과 연계한 AI 인재 육성 사업이나 AI 교육 아케데미 설립 등의 전략을 검토해 볼 수 있다고 생각됨.",DNB room,20180321,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180321,20180321001,DNB.ZIP,"카카오뱅크 체크카드 부정사용, 케이뱅크 100배…'정보 보안' 비상등?","http://sports.chosun.com/news/nty
pe.htm?id=2018032101001547300
11339&servicedate=20180320",-,"#카카오뱅크, #체크카드, #정보보안",카카오뱅크의 체크카드 부정 사용 건수가 출범 이후 671건에 달한다고 함. 이는 케이뱅크의 100배에 달하는 것으로 전체건수를 감안하여도 과도한 것으로 나타남. 현재 카카오뱅크는 자체 보안프로그램 대신 이상거래 감지시스템을 국민카드에 전적으로 맡기고 있음.,"편의성과 간편성으로 급격한 양적 성장을 이룬 카카오뱅크의 보안문제가 대두되고 있음. 획기적인 사업 모델은 고객의 관심을 사는 데 유리할 수 있으나, 페이스북 개인정보 유출 사태와 같이 보안문제로 등돌린 고객의 마음을 되돌리는 것은 어렵다고 판단됨. 디지털 상품 출시시 편의성 외에도 보안성 강화에 더 신경써야할 것으로 보임.",DNB room,20180321,Jungeun Go
Daily News Briefing,Daily_News_Briefing_180320,20180320001,DNB.ZIP,"장애물 달리기 대회 열어 연1,000억원 버는 회사",http://news.mt.co.kr/mtview.php,-,"#터프머더, #장애물달리기대회, #밀레니얼세대","스타트업 '터프머더'(Tough Mudder)는 장애물 달리기 대회로 2016년 한 해에만 약 1,000억원(1억 달러)의 매출을 올림. 참가비가 1인당 200달러이며, 2010년부터 지금까지 300만명 넘게 참가함. 특히, 활동성 강한 재미에 밀레니얼 세대가 열광하고 있음.","대회가 강조하는 특징 중 하나는 팀워크이며, 완주 자체에 의미를 두기 때문에 기록을 재지 않고 우승자도 없음. 당사도, 밀레니얼 세대나 익스트림 스포츠를 즐기는 사람들을 타겟으로 '터프머더'와 같은 대회를 열고, 참가비를 CSR차원에서 의미있게 기부하는 방안 등을 고려해볼 수 있음.",DNB room,20180320,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180320,20180320001,DNB.ZIP,3D프린터로 만든 전기차 나와…제작기간 ‘불과 3일’,http://www.zdnet.co.kr/news/news_view.asp,-,"#XEV, #3D프린터기,# 전기차","이탈리아 전기차 업체인 XEV사는 3D 프린터로 제작한 전기차를 내년 2분기부터 중국에서 양산할 계획이라고 밝힘. 이미 7천 대의 사전 주문을 받았으며, 가격은 대당 6만 위안(약 1천만원)이라 함. 또한 대부분의 부품이 3D프린터로 인쇄돼 제작기간은 불과 3일이라고 함.","친환경 자동차 양산이라는 세계적 흐름 속에서 해당 산업의 성장 잠재력은 크다고 여겨지며, 3D 프린팅 전기차에 대한 지속적인 모니터링이 필요하다고 생각됨. 관련 보험상품 등 연계할 수 있는 방안에 대해 구상해볼 필요가 있으며, 3D프린팅 기술 자체를 당사가 활용할 수 있는 방안을 고민해보아야할 것으로 사료됨.",DNB room,20180320,Jungeun Go
Daily News Briefing,Daily_News_Briefing_180320,20180320001,DNB.ZIP,2020년 상속 자산이전 규모 100조원 돌파,http://www.yonhapnews.co.kr/…/1309000000AKR2018031914210000,-,"#상속, #증여, #고령화","고령화와 자산가치 상승세가 맞물리면서 2년뒤인 2020년 국내에서 상속을 통해 이전되는 자산 규모가 100조원을 넘길 전망임. 한편, 절세의 방안으로 사망 전 증여 역시 활발히 이뤄지고 있음.","부동산 가치와 금융 자산 가치가 급증하면서 중장년층의 자산이전 관심도가 증가함. 보험 상품은 상속, 절세와 관련이 깊은 상품이므로 관련 특화 상품 및 서비스 개발을 고려할 필요가 있음.",DNB room,20180320,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180320,20180320001,DNB.ZIP,인터넷전문은행 두 곳의 사업추진모델 비교,http://www.ekn.kr/news/article.html?no=350138,-,"#인터넷전문은행, #케이뱅크, #카카오뱅크","지난해 출범한 인터넷전문은행 케이뱅크와 카카오뱅크가 다른 사업추진모델을 보이고 있음. 케이뱅크는 2.60%의 높은 금리, 체크카드 및 모바일슈랑스까지 다양한 '상품' 위주의 전략으로 추진 중임. 카카오뱅크는 비대면 거래의 보안 취약성을 보완하고자 전산센터를 구축하였고, 만65세 이상 전용 전화상담, ATM 수수료 무료 등 '서비스' 측면을 강화함.","금융산업 카테고리에서 기본적으로 금리 부분에 민감하게 반응하는 고객이 많을 것으로 판단되나, 그와 비슷한 수준으로 편의서비스 측면이 부각되고 있어 각각에 대한 고객 반응에 주목해야 할 것으로 생각함.",DNB room,20180320,Seungbeom Choi
Daily News Briefing,Daily_News_Briefing_180320,20180320001,DNB.ZIP,"정보 규제' 확 푼다. 금융 빅데이터, 익명 상태로 매매",http://www.yonhapnews.co.kr/…/0200000000AKR2018031705580000,-,"#금융위원회, #정보규제완화, #빅데이터","금융위원회가 '금융분야 데이터 활용 및 정보보호를 위한 간담회'에서 금융 분야의 빅데이터 산업을 활성화하기 위해 관련 규제를 풀겠다고 발표함. 공공 부문에 집적된 데이터베이스를 하반기부터 민간 영역에 제공하고, 암호화한 금융 DB를 거래, 유통하는 플랫폼도 공공 영역에 마련한다는 것임.","당사도, 정보규제 완화에 맞춘 빅데이터 활용 방안 수립 및 빅데이터를 통한 다양한 고객 서비스에 대해 고민해야 할 것으로 판단됨. 또한, 빅데이터를 활용하는 핀테크 스타트업을 더욱 적극적으로 모색할 필요가 있다고 생각됨.",DNB room,20180320,Sangyoon Kim
Daily News Briefing,Daily_News_Briefing_180319,20180319001,DNB.ZIP,선진국 펀드에 글로벌 자금 사상 최대 유입,http://www.yonhapnews.co.kr/stock/2018/03/19/1309000000AKR20180319032200008.HTML,-,"#선진국펀드, #글로벌주식형펀드",미국 경제지표 호조 등에 힘입어 지난주 선진국 주식형 펀드에 406억 5천만 달러의 투자자금이 몰림. 신흥국 주식형 펀드에도 유입이 지속되었으나 금리 상승 우려로 채권형 펀드에서는 자금이 순유출됨.,G2의 경제 지표 호조로 글로벌 주식형 펀드에 지속적으로 자금이 유입될 것으로 보임. 해외 직접 투자를 쉽게 할 수 있는 서비스를 출시한다면 고객들로부터 긍정적인 반응을 이끌어 낼 수 있을 것으로 보임.,DNB room,20180319,Soohyun Park
Daily News Briefing,Daily_News_Briefing_180319,20180319001,DNB.ZIP,연초 중국 블록체인 구인 기업 수 지난해比 5배,http://www.zdnet.co.kr/news/news_view.asp?artice_id=20180319073100,-,"#중국블록체인, #구인난","중국 블록체인 산업이 발전하고 있는 반면 기업이 필요로 하는 인재는 부족해 구인난이 심화되고 있음. 중국은 지난 2월까지 블록체인 기술 인재 공급 비율이 15%에 불과하며, 이같은 구인난을 대변하는 전문 채용 사이트도 등장하고 있음.","중국 구인 플랫폼 통계에 따르면 구인 비중에서, 블록체인 기술 분야 직종 일자리 수가 73.7% 이상을 차지했음. 전세계 정부 및 기업이 블록체인 산업에 본격적으로 뛰어들고 있는 만큼, 당사도 한발 빠른 블록체인 관련 인력 확보 및 인재 육성 방안에 대한 고민이 필요하다고 생각됨.",DNB room,20180319,Sangyoon Kim
